MOTIF	NREAL	NRAND		NREAL	NREAL	CREAL	UNIQ
ID		STATS		ZSCORE	PVAL	[MILI]	
14	138	203.2+-16.3	-4.02	1.000	25.59	0

28	65	190.9+-15.8	-7.93	1.000	12.15	0

30	4	27.4+-4.9	-4.72	1.000	0.74	0

74	381	528.4+-39.1	-3.77	1.000	70.77	0

76	1079	1687.8+-74.9	-8.13	1.000	200.53	0

78	74	70.9+-12.7	0.22	0.407	13.71	0

90	4	15.6+-6.6	-1.74	0.981	0.74	0

92	40	42.8+-9.1	-0.25	0.594	7.53	0

94	11	2.2+-3.0	2.95	0.015	2.04	0

204	55	45.6+-8.9	1.08	0.140	10.27	0

206	17	2.8+-2.0	7.26	0.000	3.16	0

222	5	0.0+-0.2	24.14	0.000	0.99	0

280	245	310.1+-22.1	-2.95	0.999	45.55	0

282	36	94.4+-11.0	-5.32	1.000	6.69	0

286	2	11.8+-3.0	-3.25	1.000	0.37	0

328	153	268.9+-34.1	-3.40	1.000	28.44	0

330	0	6.6+-6.5	-1.02	1.000	0.00	0

332	55	148.5+-23.6	-3.95	1.000	10.22	0

334	0	3.2+-2.9	-1.13	1.000	0.00	0

344	29	21.4+-6.1	1.25	0.115	5.39	0

346	1	1.1+-1.5	-0.08	0.494	0.19	0

348	21	11.9+-5.1	1.77	0.059	3.90	0

350	2	1.2+-1.3	0.65	0.333	0.37	0

390	10	40.8+-10.2	-3.01	1.000	1.86	0

392	565	878.5+-65.6	-4.77	1.000	105.10	0

394	68	21.9+-6.9	6.73	0.000	12.64	0

396	32	130.3+-19.3	-5.08	1.000	5.95	0

398	1	2.7+-1.9	-0.88	0.891	0.19	0

404	215	358.2+-27.7	-5.16	1.000	39.97	0

406	3	33.8+-7.6	-4.07	1.000	0.56	0

408	71	70.0+-14.5	0.07	0.478	13.20	0

410	9	3.9+-5.1	1.00	0.160	1.67	0

412	9	10.5+-4.5	-0.34	0.639	1.67	0

414	2	1.0+-1.4	0.69	0.285	0.37	0

454	0	3.8+-3.4	-1.12	1.000	0.00	0

456	14	30.5+-6.3	-2.60	0.999	2.60	0

458	0	0.5+-0.9	-0.61	1.000	0.00	0

460	6	15.8+-4.9	-2.01	0.991	1.12	0

462	0	0.3+-0.5	-0.47	1.000	0.00	0

468	39	26.3+-8.8	1.45	0.077	7.25	0

470	0	2.7+-2.6	-1.07	1.000	0.00	0

472	5	2.8+-1.9	1.15	0.183	0.93	0

474	1	0.1+-0.3	3.07	0.069	0.19	0

476	7	1.6+-1.4	3.90	0.004	1.30	0

478	0	0.1+-0.3	-0.26	1.000	0.00	0

856	4	0.6+-1.1	2.98	0.029	0.74	0

858	0	1.1+-1.4	-0.76	1.000	0.00	0

862	5	0.8+-1.4	3.02	0.026	0.93	0

904	14	15.3+-4.9	-0.22	0.560	2.65	0

906	17	1.8+-1.5	10.14	0.000	3.16	0

908	0	1.7+-1.5	-1.18	1.000	0.00	0

910	1	0.1+-0.3	2.85	0.069	0.19	0

922	2	0.1+-0.4	4.41	0.019	0.37	0

924	0	0.1+-0.3	-0.31	1.000	0.00	0

926	1	0.0+-0.2	5.54	0.028	0.19	0

972	0	0.7+-0.9	-0.81	1.000	0.00	0

974	1	0.1+-0.3	3.18	0.070	0.19	0

990	0	0.0+-0.2	-0.15	1.000	0.00	0

2184	441	583.0+-26.0	-5.47	1.000	81.98	0

2186	214	123.4+-21.8	4.15	0.000	39.78	0

2190	4	2.6+-1.9	0.75	0.258	0.74	0

2202	15	3.3+-4.3	2.74	0.021	2.83	0

2204	12	3.1+-2.1	4.15	0.001	2.23	0

2206	1	0.2+-0.4	1.90	0.126	0.19	0

2252	18	4.8+-2.9	4.63	0.002	3.35	0

2254	5	0.3+-0.6	7.92	0.001	0.93	0

2270	2	0.0+-0.1	35.72	0.000	0.37	0

2458	6	0.5+-1.0	5.45	0.003	1.12	0

2462	0	0.0+-0.2	-0.14	1.000	0.00	0

2506	0	0.0+-0.1	-0.11	1.000	0.00	0

2510	1	0.0+-0.1	13.26	0.005	0.19	0

2524	0	0.0+-0.2	-0.16	1.000	0.00	0

2526	0	0.0+-0.0	-0.04	1.000	0.00	0

3038	0	0.0+-0.0	888888	1.000	0.00	0

4370	213	384.6+-29.5	-5.81	1.000	39.60	0

4374	20	75.2+-11.4	-4.82	1.000	3.72	0

4382	0	3.2+-1.3	-2.43	1.000	0.00	0

4418	2	10.7+-10.0	-0.87	0.712	0.37	0

4420	153	324.9+-34.4	-5.00	1.000	28.44	0

4422	13	6.2+-5.1	1.35	0.108	2.42	0

4424	129	191.0+-23.5	-2.64	0.998	23.98	0

4426	1	1.7+-2.1	-0.33	0.556	0.19	0

4428	41	150.5+-20.2	-5.43	1.000	7.62	0

4430	2	1.6+-1.5	0.24	0.473	0.37	0

4434	3	11.2+-8.0	-1.03	0.862	0.56	0

4436	156	92.1+-25.4	2.51	0.004	29.00	0

4438	0	7.5+-5.8	-1.29	1.000	0.00	0

4440	29	27.6+-7.4	0.19	0.424	5.39	0

4442	1	2.2+-1.8	-0.67	0.815	0.19	0

4444	14	18.6+-5.9	-0.77	0.801	2.60	0

4446	1	1.1+-0.9	-0.06	0.674	0.19	0

4546	0	0.1+-0.4	-0.30	1.000	0.00	0

4548	20	23.5+-5.9	-0.60	0.728	3.72	0

4550	0	0.1+-0.4	-0.36	1.000	0.00	0

4556	6	9.3+-3.4	-0.98	0.879	1.12	0

4558	0	0.1+-0.3	-0.27	1.000	0.00	0

4562	0	0.1+-0.4	-0.31	1.000	0.00	0

4564	11	4.0+-2.3	3.02	0.011	2.04	0

4566	0	0.2+-0.4	-0.37	1.000	0.00	0

4572	9	1.3+-1.3	5.69	0.000	1.67	0

4574	0	0.0+-0.2	-0.20	1.000	0.00	0

4678	37	8.5+-4.5	6.28	0.000	6.88	0

4682	12	26.4+-5.9	-2.44	0.997	2.23	0

4686	0	1.0+-1.2	-0.87	1.000	0.00	0

4692	11	6.2+-5.1	0.94	0.193	2.04	0

4694	9	5.1+-4.5	0.86	0.196	1.67	0

4698	5	16.7+-4.2	-2.76	0.998	0.93	0

4700	2	0.8+-1.2	1.02	0.224	0.37	0

4702	1	1.3+-1.2	-0.23	0.650	0.19	0

4740	0	1.1+-1.2	-0.93	1.000	0.00	0

4742	1	0.2+-0.5	1.44	0.190	0.19	0

4748	0	2.6+-1.7	-1.48	1.000	0.00	0

4750	1	0.1+-0.3	2.64	0.096	0.19	0

4758	0	0.0+-0.2	-0.16	1.000	0.00	0

4764	0	0.2+-0.4	-0.37	1.000	0.00	0

4766	0	0.1+-0.2	-0.22	1.000	0.00	0

4812	0	0.6+-0.9	-0.72	1.000	0.00	0

4814	0	0.1+-0.3	-0.25	1.000	0.00	0

4830	0	0.0+-0.1	-0.14	1.000	0.00	0

4946	8	9.0+-6.8	-0.14	0.529	1.49	0

4950	16	4.8+-7.7	1.45	0.098	2.97	0

4952	3	0.8+-1.2	1.86	0.085	0.56	0

4954	1	1.8+-1.5	-0.53	0.777	0.19	0

4958	1	0.6+-1.0	0.37	0.306	0.19	0

4994	1	0.8+-1.3	0.12	0.429	0.19	0

4998	1	0.0+-0.2	4.28	0.040	0.19	0

5002	5	0.5+-0.8	5.37	0.002	0.93	0

5004	0	2.2+-1.6	-1.39	1.000	0.00	0

5006	1	0.0+-0.2	4.18	0.044	0.19	0

5010	4	0.9+-1.2	2.56	0.042	0.74	0

5012	0	0.3+-0.6	-0.47	1.000	0.00	0

5014	0	0.1+-0.3	-0.27	1.000	0.00	0

5016	12	2.4+-1.8	5.38	0.000	2.23	0

5018	0	0.7+-1.0	-0.69	1.000	0.00	0

5020	4	0.2+-0.5	8.01	0.001	0.74	0

5022	0	0.0+-0.2	-0.20	1.000	0.00	0

5058	1	0.0+-0.2	4.57	0.038	0.19	0

5062	0	0.1+-0.3	-0.21	1.000	0.00	0

5064	1	0.6+-0.9	0.40	0.430	0.19	0

5066	0	0.0+-0.1	-0.14	1.000	0.00	0

5068	0	1.8+-1.4	-1.29	1.000	0.00	0

5070	0	0.0+-0.2	-0.20	1.000	0.00	0

5074	0	0.1+-0.3	-0.31	1.000	0.00	0

5076	2	0.2+-0.5	3.90	0.018	0.37	0

5078	1	0.1+-0.4	2.38	0.093	0.19	0

5080	1	0.1+-0.4	2.46	0.097	0.19	0

5082	0	0.1+-0.3	-0.25	1.000	0.00	0

5084	0	0.1+-0.4	-0.36	1.000	0.00	0

5086	0	0.0+-0.2	-0.20	1.000	0.00	0

6342	0	0.0+-0.1	-0.11	1.000	0.00	0

6348	1	0.9+-1.2	0.07	0.499	0.19	0

6350	0	0.0+-0.1	-0.12	1.000	0.00	0

6356	0	0.0+-0.2	-0.16	1.000	0.00	0

6358	1	0.0+-0.0	44.70	0.001	0.19	0

6364	3	0.1+-0.3	8.40	0.001	0.56	0

6366	0	0.0+-0.1	-0.08	1.000	0.00	0

6550	0	0.0+-0.2	-0.18	1.000	0.00	0

6552	36	3.1+-2.6	12.59	0.000	6.69	0

6554	6	1.1+-1.3	3.79	0.009	1.12	0

6558	0	0.0+-0.2	-0.16	1.000	0.00	0

6598	0	0.0+-0.1	-0.05	1.000	0.00	0

6602	1	0.0+-0.1	7.06	0.019	0.19	0

6604	0	0.8+-1.0	-0.72	1.000	0.00	0

6606	0	0.0+-0.1	-0.07	1.000	0.00	0

6614	1	0.0+-0.0	25.79	0.002	0.19	0

6616	6	0.2+-0.5	12.56	0.000	1.12	0

6618	0	0.0+-0.1	-0.13	1.000	0.00	0

6620	0	0.1+-0.3	-0.34	1.000	0.00	0

6622	0	0.0+-0.1	-0.06	1.000	0.00	0

6854	0	0.0+-0.0	-0.02	1.000	0.00	0

6858	1	0.0+-0.2	4.34	0.038	0.19	0

6862	0	0.0+-0.0	-0.03	1.000	0.00	0

6870	0	0.0+-0.0	888888	1.000	0.00	0

6874	1	0.1+-0.3	2.89	0.074	0.19	0

6876	0	0.0+-0.1	-0.05	1.000	0.00	0

6878	0	0.0+-0.0	-0.04	1.000	0.00	0

7126	0	0.0+-0.0	-0.04	1.000	0.00	0

7128	0	0.0+-0.0	-0.03	1.000	0.00	0

7130	0	0.0+-0.1	-0.07	1.000	0.00	0

7134	0	0.0+-0.0	888888	1.000	0.00	0

13142	10	0.6+-1.3	7.11	0.000	1.86	0

13146	0	0.0+-0.2	-0.19	1.000	0.00	0

13148	1	0.0+-0.2	4.18	0.046	0.19	0

13150	0	0.1+-0.3	-0.25	1.000	0.00	0

13260	0	0.3+-0.5	-0.52	1.000	0.00	0

13262	0	0.0+-0.2	-0.21	1.000	0.00	0

13278	1	0.0+-0.1	9.14	0.011	0.19	0

14678	0	0.0+-0.0	-0.05	1.000	0.00	0

14686	0	0.0+-0.0	-0.02	1.000	0.00	0

14790	0	0.0+-0.0	888888	1.000	0.00	0

14798	0	0.0+-0.0	-0.03	1.000	0.00	0

14810	0	0.0+-0.0	-0.04	1.000	0.00	0

14812	0	0.0+-0.1	-0.08	1.000	0.00	0

14814	0	0.0+-0.0	-0.02	1.000	0.00	0

15258	6	0.0+-0.2	32.24	0.000	1.12	0

15262	1	0.0+-0.1	18.23	0.003	0.19	0

15310	0	0.0+-0.0	-0.04	1.000	0.00	0

15326	0	0.0+-0.0	-0.03	1.000	0.00	0

31710	0	0.0+-0.0	888888	1.000	0.00	0
