Motif_ID,N_real,Nrand,Zscore,pvalue
76,1079,1687.8+-74.9,-8.130000114440918,1.0
28,65,190.9+-15.8,-7.929999828338623,1.0
4370,213,384.6+-29.5,-5.809999942779541,1.0
2184,441,583.0+-26.0,-5.46999979019165,1.0
4428,41,150.5+-20.2,-5.429999828338623,1.0
282,36,94.4+-11.0,-5.320000171661377,1.0
404,215,358.2+-27.7,-5.159999847412109,1.0
396,32,130.3+-19.3,-5.079999923706055,1.0
4420,153,324.9+-34.4,-5.0,1.0
4374,20,75.2+-11.4,-4.820000171661377,1.0
392,565,878.5+-65.6,-4.769999980926514,1.0
30,4,27.4+-4.9,-4.71999979019165,1.0
406,3,33.8+-7.6,-4.070000171661377,1.0
14,138,203.2+-16.3,-4.019999980926514,1.0
332,55,148.5+-23.6,-3.950000047683716,1.0
74,381,528.4+-39.1,-3.7699999809265137,1.0
328,153,268.9+-34.1,-3.4000000953674316,1.0
286,2,11.8+-3.0,-3.25,1.0
390,10,40.8+-10.2,-3.009999990463257,1.0
280,245,310.1+-22.1,-2.950000047683716,0.9990000128746033
4698,5,16.7+-4.2,-2.759999990463257,0.9980000257492065
4424,129,191.0+-23.5,-2.640000104904175,0.9980000257492065
456,14,30.5+-6.3,-2.5999999046325684,0.9990000128746033
